Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#804	3945_3_1_2	-1.94	83331036011.40897	291002026902.20337	2565.481527761434	0.6078237487914542	30679000000.000004	96204000000.0	30084471987.772053	96204000000.0	257.7461019465688	0.5336464925870552
Cell#209	3948_3_2_3	-19.48	159605925806.0777	463535663893.85754	9152.609883180796	0.5994092823975323	33354999999.999996	71602000000.0	26857351324.32346	71602000000.0	196.4472505275705	0.5218669541148575
Cell#19	3950_3_1_2_2_2_1	-29.22	146525032266.30682	437459001425.6446	7499.76772538647	0.5910334772870619	46450000000.0	101745000000.0	32877160229.748688	101745000000.0	418.2778432633124	0.6220683875278706
Cell#762	3947_3_2_0_1	-33.77	105937272714.3172	362200053282.82556	4285.107698667875	0.6179197589718125	14565999999.999998	31377000000.0	9646965702.569843	31376999999.999996	30.604691253242272	0.5734601801474892
Cell#226	3951_0_2_2	-5.8	168440463402.75714	423151750664.64856	8027.164899020937	0.531905725020645	29375999999.999996	61360000000.0	27671569997.433872	61360000000.0	134.89868452160306	0.4197300441345311
Cell#593	3944_3_2_1	-25.58	151814987477.28998	419875047757.5583	7322.877673484758	0.5636717138602905	11012000000.0	20614000000.0	8194978581.055107	20614000000.0	15.536269575795076	0.48097837563345913
Cell#454	3945_0_0_0_0_2	-25.64	74159880116.68794	290474020595.28735	2312.039759153187	0.6483785368037076	6471000000.0	16684999999.999998	4812088737.406598	16684999999.999998	6.899935853194719	0.545869588133221
Cell#646	3950_0_1_2_2	-20.48	147850661155.3125	365211058058.6804	6390.470290416787	0.5406835282453535	19596000000.0	36769000000.0	15581564978.419893	36769000000.0	59.71983091864604	0.4959617795471456
Cell#455	3950_3_2_1_2_1	-20.85	123001636267.53418	364992953115.16473	4619.380794510977	0.5525619725847083	20187000000.0	48338000000.0	15979214248.311672	48338000000.00001	81.27305581405956	0.5641802446798534
Cell#833	3952_1_2_0_3	-17.29	176349853824.27838	398582407408.2243	7940.745386788188	0.5053072523855372	9073000000.0	15306000000.0	7503797781.785893	15306000000.0	9.571803981004104	0.41230231783999644
